Keyword,Language,Intent,Category,Primary URL,Primary/Secondary,Priority,Existing/New Page,Cannibalization,B2B intent,Search volume,Keyword difficulty,CPC,Notes
refurbished computere,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,Markedets dominerende term – låneordet bruges også på dansk.
refurbished computere erhverv,da,commercial,Kerne,/,Primary,High,Existing,None,Ja,unknown,unknown,unknown,B2B-kvalificeret variant. Kestros kerneterm.
brugte computere til virksomheder,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
renoverede computere,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,"Dansk ord – lavere volumen end 'refurbished', men mindre konkurrence."
brugt it-udstyr,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
brugt it-udstyr til virksomheder,da,commercial,Kerne,/produkter,Primary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
erhvervscomputere,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
computere til virksomheder,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
it-udstyr til virksomheder,da,commercial,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
refurbished it,da,commercial,Kerne,/produkter,Secondary,Medium,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
genbrugt it-udstyr,da,commercial,Kerne,/produkter,Secondary,Medium,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
bæredygtig it til virksomheder,da,commercial,Kerne,/om-os,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,Bæredygtighed er et købsargument i dansk B2B-indkøb.
hvad er refurbished,da,informational,Kerne,/vejledninger/refurbished-eller-brugt,Secondary,Low,New,None,Ja,unknown,unknown,unknown,Definitionsside – trækker toppen af tragten.
refurbished vs brugt,da,informational,Kerne,/vejledninger/refurbished-eller-brugt,Primary,Medium,New,None,Ja,unknown,unknown,unknown,Direkte relevant for Kestros positionering.
brugte bærbare computere,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,
refurbished bærbar,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,
brugt bærbar til erhverv,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,
refurbished laptop erhverv,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,
billige bærbare computere til virksomheder,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,'Billig' matcher ikke Kestros positionering – lav prioritet.
bærbar computer til kontor,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
erhvervsbærbar,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
brugte laptops,da,commercial,Produkt: bærbare,/produkter/baerbare-computere,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
hvilken bærbar til virksomheden,da,informational,Produkt: bærbare,/vejledninger/vaelg-erhvervsbaerbar,Secondary,Medium,New,None,Ja,unknown,unknown,unknown,
brugte stationære computere,da,commercial,Produkt: stationære,/produkter/stationaere-computere,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,
refurbished stationær pc,da,commercial,Produkt: stationære,/produkter/stationaere-computere,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,
stationær computer til kontor,da,commercial,Produkt: stationære,/produkter/stationaere-computere,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
brugt workstation,da,commercial,Produkt: stationære,/produkter/stationaere-computere,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
mini pc erhverv,da,commercial,Produkt: mini-pc,/produkter/mini-pc,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
brugt mini pc,da,commercial,Produkt: mini-pc,/produkter/mini-pc,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
lenovo thinkcentre tiny,da,commercial,Produkt: mini-pc,/modeller/lenovo-thinkcentre-m720q,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
brugte skærme,da,commercial,Produkt: skærme,/produkter/skaerme,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,
refurbished skærme erhverv,da,commercial,Produkt: skærme,/produkter/skaerme,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
24 tommer skærm til kontor,da,commercial,Produkt: skærme,/produkter/skaerme,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
dobbeltskærm opsætning kontor,da,informational,Produkt: skærme,/produkter/skaerme,Secondary,Low,Existing,None,Delvist,unknown,unknown,unknown,Kun hvis der skrives en reel guide.
dockingstation til bærbar,da,commercial,Produkt: docking,/produkter/dockingstationer,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
brugt dockingstation,da,commercial,Produkt: docking,/produkter/dockingstationer,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
usb-c dock til flere skærme,da,informational,Produkt: docking,/produkter/dockingstationer,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
brugte tablets til erhverv,da,commercial,Produkt: tablets/telefoner,/produkter/tablets,Primary,Medium,Existing,None,Ja,unknown,unknown,unknown,
refurbished ipad virksomhed,da,commercial,Produkt: tablets/telefoner,/produkter/tablets,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
refurbished mobiltelefoner erhverv,da,commercial,Produkt: tablets/telefoner,/produkter/smartphones,Primary,Medium,Existing,None,Ja,unknown,unknown,unknown,
brugte iphones til virksomheder,da,commercial,Produkt: tablets/telefoner,/produkter/smartphones,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
brugte smartwatches,da,commercial,Produkt: tablets/telefoner,— (ikke målrettet),—,Low,—,None,Delvist,unknown,unknown,unknown,Svag B2B-relevans. Se kategorianbefalingen i trin 3.
gaming pc brugt,da,commercial,Produkt: tablets/telefoner,— (ikke målrettet),—,Low,—,None,Delvist,unknown,unknown,unknown,Forkert publikum for et B2B-domæne. Se kategorianbefalingen i trin 3.
lenovo thinkpad brugt,da,commercial,Mærke/model,/modeller,Primary,High,Existing,"MELLEM – overlapper /produkter på de generiske kerneord. Skal eje mærke/model, ikke kategori.",Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
brugt thinkpad t480,da,commercial,Mærke/model,/modeller/lenovo-thinkpad-t480,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
thinkpad t14 brugt,da,commercial,Mærke/model,/modeller/lenovo-thinkpad-t14,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
thinkpad x1 carbon brugt,da,commercial,Mærke/model,/modeller/lenovo-thinkpad-x1-carbon,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
thinkpad l14 erhverv,da,commercial,Mærke/model,/modeller/lenovo-thinkpad-l14,Primary,High,Existing,None,Ja,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
dell latitude brugt,da,commercial,Mærke/model,/modeller/dell-latitude-5410,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
dell latitude 7490 brugt,da,commercial,Mærke/model,/modeller/dell-latitude-7490,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp elitebook brugt,da,commercial,Mærke/model,/modeller/hp-elitebook-840,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp elitebook 840 g5 pris,da,commercial,Mærke/model,/modeller/hp-elitebook-840,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp probook 450 brugt,da,commercial,Mærke/model,/modeller/hp-probook-450,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp zbook brugt,da,commercial,Mærke/model,/modeller/hp-zbook-15,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
dell optiplex brugt,da,commercial,Mærke/model,/modeller/dell-optiplex-5060,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp elitedesk 800 brugt,da,commercial,Mærke/model,/modeller/hp-elitedesk-800,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
lenovo thinkcentre m720q,da,commercial,Mærke/model,/modeller/lenovo-thinkcentre-m720q,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
dell ultrasharp u2419h,da,commercial,Mærke/model,/modeller/dell-ultrasharp-u2419h,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp elitedisplay e243,da,commercial,Mærke/model,/modeller/hp-elitedisplay-e243,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
lenovo thinkvision t24i,da,commercial,Mærke/model,/modeller/lenovo-thinkvision-t24i,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
dell wd19 dock,da,commercial,Mærke/model,/modeller/dell-wd19,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
hp usb-c dock g5,da,commercial,Mærke/model,/modeller/hp-usb-c-dock-g5,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
lenovo thinkpad ultra dock,da,commercial,Mærke/model,/modeller/lenovo-thinkpad-ultra-dock,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
thinkpad vs elitebook vs latitude,da,commercial investigation,Mærke/model,/vejledninger/vaelg-erhvervsbaerbar,Primary,High,New,None,Delvist,unknown,unknown,unknown,"Sammenligningsside – høj intention, ingen konkurrent ejer den på dansk."
thinkpad t480 vs t14,da,commercial investigation,Mærke/model,/vejledninger/vaelg-erhvervsbaerbar,Secondary,Medium,New,None,Delvist,unknown,unknown,unknown,
computere til flere medarbejdere,da,commercial,B2B: flåde,/flaadeloesninger,Primary,High,Existing,"MELLEM – overlapper /ydelser/opstart-af-arbejdspladser på ""udstyr til medarbejdere"".",Ja,unknown,unknown,unknown,
