cluster,keyword,language,search_volume,keyword_difficulty,cpc,data_source,search_intent,commercial_value,priority,related_keywords,candidate_page,coverage_today,note
Kerne – refurbished erhvervs-IT,refurbished computere,da,unknown,unknown,unknown,not measured,commercial,high,P0,renoverede computere; brugte computere; refurbished pc,/produkter,partial,Markedets dominerende term – låneordet bruges også på dansk.
Kerne – refurbished erhvervs-IT,refurbished computere erhverv,da,unknown,unknown,unknown,not measured,commercial,high,P0,refurbished til virksomheder; erhvervscomputere brugt,/produkter,partial,B2B-kvalificeret variant. Kestros kerneterm.
Kerne – refurbished erhvervs-IT,brugte computere til virksomheder,da,unknown,unknown,unknown,not measured,commercial,high,P0,brugt it-udstyr virksomhed; computere til erhverv,/produkter,partial,
Kerne – refurbished erhvervs-IT,renoverede computere,da,unknown,unknown,unknown,not measured,commercial,high,P1,refurbished computere; istandsatte computere,/produkter,partial,"Dansk ord – lavere volumen end 'refurbished', men mindre konkurrence."
Kerne – refurbished erhvervs-IT,brugt it-udstyr,da,unknown,unknown,unknown,not measured,commercial,high,P0,brugt it; brugte it-produkter; brugt hardware,/produkter,partial,
Kerne – refurbished erhvervs-IT,brugt it-udstyr til virksomheder,da,unknown,unknown,unknown,not measured,commercial,high,P0,it-udstyr erhverv brugt; b2b brugt it,/produkter,partial,
Kerne – refurbished erhvervs-IT,erhvervscomputere,da,unknown,unknown,unknown,not measured,commercial,high,P1,computere til erhverv; business pc,/produkter,partial,
Kerne – refurbished erhvervs-IT,computere til virksomheder,da,unknown,unknown,unknown,not measured,commercial,high,P0,firmacomputere; medarbejdercomputere,/produkter,partial,
Kerne – refurbished erhvervs-IT,it-udstyr til virksomheder,da,unknown,unknown,unknown,not measured,commercial,high,P0,it til erhverv; kontor-it,/produkter,partial,
Kerne – refurbished erhvervs-IT,refurbished it,da,unknown,unknown,unknown,not measured,commercial,medium,P1,refurbished hardware; genbrugs-it,/produkter,partial,
Kerne – refurbished erhvervs-IT,genbrugt it-udstyr,da,unknown,unknown,unknown,not measured,commercial,medium,P2,cirkulær it; genbrugs-it til erhverv,/produkter,gap,
Kerne – refurbished erhvervs-IT,bæredygtig it til virksomheder,da,unknown,unknown,unknown,not measured,commercial,medium,P2,grøn it; cirkulær økonomi it,/om-os,gap,Bæredygtighed er et købsargument i dansk B2B-indkøb.
Kerne – refurbished erhvervs-IT,hvad er refurbished,da,unknown,unknown,unknown,not measured,informational,low,P2,hvad betyder refurbished; refurbished vs brugt,/vejledninger (ny),gap,Definitionsside – trækker toppen af tragten.
Kerne – refurbished erhvervs-IT,refurbished vs brugt,da,unknown,unknown,unknown,not measured,informational,medium,P1,forskel på brugt og refurbished; renoveret vs brugt,/vejledninger (ny),gap,Direkte relevant for Kestros positionering.
Bærbare,brugte bærbare computere,da,unknown,unknown,unknown,not measured,commercial,high,P0,brugt bærbar; refurbished bærbar,/produkter/baerbare-computere,covered,
Bærbare,refurbished bærbar,da,unknown,unknown,unknown,not measured,commercial,high,P0,refurbished laptop; renoveret bærbar,/produkter/baerbare-computere,covered,
Bærbare,brugt bærbar til erhverv,da,unknown,unknown,unknown,not measured,commercial,high,P0,erhvervsbærbar brugt; bærbar til virksomhed,/produkter/baerbare-computere,covered,
Bærbare,refurbished laptop erhverv,da,unknown,unknown,unknown,not measured,commercial,high,P1,business laptop refurbished,/produkter/baerbare-computere,covered,
